COSERID	ca	casa	total	percentage_ca	Village	Province	Nombre	longitude	latitude
4602	0	10	10	0	Cotanes del Monte	Zamora	Cotanes del Monte, Zamora, España	-5.291303	41.8172572
4611	0	3	3	0	Villalba de Lampreana	Zamora	Villalba de Lampreana, Zamora, España	-5.639222999999999	41.7430599
4613	0	1	1	0	Villamor de los Escuderos	Zamora	Villamor de los Escuderos, Zamora, España	-5.5755119	41.2520597
4617	0	1	1	0	Mahide	Zamora	Mahide, Zamora, España	-6.3781981	41.8694808
4915	0	2	2	0	Son Macià (Manacor)	Mallorca	Son Macià (Manacor), Mallorca, España	3.216779	39.5133638
5214	0	1	1	0	Punta Jandía (Jandía)	Fuerteventura	Punta Jandía (Jandía), Fuerteventura, España	-14.5072834	28.0657947
5303	0	1	1	0	Barranquillo Andrés (Mogán)	Las Palmas de Gran Canaria	Barranquillo Andrés (Mogán), Las Palmas de Gran Canaria, España	-15.6792849	27.8954882
5506	6	0	6	100	El Remo (Los Llanos de Aridane)	La Palma	El Remo (Los Llanos de Aridane), La Palma, España	-17.890044	28.5542905
5605	3	2	5	60	La Asomada (Tías)	Lanzarote	La Asomada (Tías), Lanzarote, España	-13.6929756	28.9600245
5735	0	2	2	0	San José (San Juan de la Rambla)	Tenerife	San José (San Juan de la Rambla), Tenerife, España	-16.646949	28.3785775
